,nombre_científico,nombre_común,autoridad,categoría_de_amenaza,origen
82,Neomys anomalus,Musgaño de Cabrera ,"Cabrera, 1907",LC,Nativa
83,Neomys fodiens,Musgaño patiblanco ,"(Pennant, 1771)",LC,Nativa
84,Neovison vison,Visón americano ,,,
85,Nyctalus lasiopterus,Nóctulo grande ,"(Schreber, 1780)",DD,Nativa
86,Nyctalus leisleri,Nóctulo pequeño ,"(Kuhl, 1817)",LC,Nativa
87,Nyctalus noctula,Nóctulo mediano ,"(Schreber, 1774)",LC,Nativa
88,Ondatra zibethicus,Rata almizclera ,,,
89,Orcinus orca,Orca ,"(Linnaeus, 1758)",DD,Nativa
90,Oryctolagus cuniculus,Conejo ,"(Linnaeus, 1758)",NT,Nativa
91,Ovis orientalis,Muflón ,,,
92,Phocoena phocoena,Marsopa ,"(Linnaeus, 1758)",VU,Nativa
93,Physeter catodon,Cachalote común ,,,
94,Pipistrellus kuhli,Murciélago de borde claro ,,,
95,Pipistrellus maderensis,Murciélago de Madeira ,"(Dobson, 1878)",VU,Nativa
96,Pipistrellus nathusii,Murciélago de Nathusius ,"(Keyserling &amp; Blasius, 1839)",LC,Nativa
97,Pipistrellus pipistrellus,Murciélago enano ,"(Schreber, 1774)",LC,Nativa
98,Pipistrellus pygmaeus,Murciélago de Cabrera ,"(Leach, 1825)",LC,Nativa
99,Plecotus auritus,Orejudo dorado ,"Linnaeus, 1758",LC,Nativa
100,Plecotus austriacus,Orejudo gris ,"(Fischer, 1829)",LC,Nativa
101,Plecotus macrobullaris,Orejudo alpino ,"Kuzjakin, 1965",NT,Nativa
102,Plecotus teneriffae,Orejudo canario ,"Barret-Hamilton, 1907",VU,Nativa
103,Procyon lotor,Mapache ,,,
104,Pseudorca crassidens,Orca negra ,,,
105,Rattus norvegicus,Rata parda ,,,
106,Rattus rattus,Rata negra ,"(Linnaeus, 1758)",LC,Introducida (invasora)**
107,Rhinolophus euryale,Murciélago mediterráneo de herradura  ,"Blasius, 1853",VU,Nativa
108,Rhinolophus ferrumequinum,Murciélago grande de herradura ,"(Schreber, 1774)",NT,Nativa
109,Rhinolophus hipposideros,Murciélago pequeño de herradura ,"(Bechstein, 1800)",NT,Nativa
110,Rhinolophus mehelyi,Murciélago mediano de herradura ,"Matschie, 1901",VU,Nativa
111,Rupicapra pyrenaica,Rebeco ,"Bonaparte, 1845",LC,Nativa
112,Sciurus vulgaris ,Ardilla roja ,,,
113,Sorex araneus,Musaraña bicolor ,"Linnaeus, 1758",LC,Nativa
114,Sorex coronatus,Musaraña tricolor ,"Millet, 1828",LC,Nativa
115,Sorex granarius,Musaraña ibérica ,"Miller, 1910",LC,Nativa
116,Sorex minutus,Musaraña enana ,"Linnaeus, 1766",LC,Nativa
117,Stenella coeruleoalba,Delfín listado ,"(Meyen, 1833)",DD,Nativa
118,Stenella frontalis,Delfín oceánico ,,,
119,Steno bredanensis,Delfín de dientes rugosos ,,,
120,Suncus etruscus,Musgaño enano ,,,
121,Sus scrofa,Jabalí ,"Linnaeus, 1758",LC,Nativa
122,Tadarida teniotis,Murciélago rabudo ,"(Rafinesque, 1814)",LC,Nativa
123,Talpa europaea,Topo europeo ,"Linnaeus, 1758",LC,Nativa
124,Talpa occidentalis,Topo ibérico ,"Cabrera, 1907",LC,Nativa
125,Tursiops truncatus,Delfín mular común ,"(Montagu, 1821)",DD,Nativa
126,Ursus arctos,Oso pardo ,"Linnaeus, 1758",LC,Nativa
127,Vespertilio murinus,Murciélago bicolor ,,,
128,Vulpes vulpes,Zorro ,"(Linnaeus, 1758)",LC,Nativa
129,Ziphius cavirostris,Ballenato de Cuvier ,"G. Cuvier, 1823",DD,Nativa
